"","x"
"1",24.3115148385987
"2",25.0829601984416
"3",25.5726561446665
"4",24.022538520866
"5",24.3312300316541
"6",23.7427606954188
"7",24.5602624769753
"8",25.7110502220355
"9",24.1853080388695
"10",24.6123338610618
"11",24.8630352281711
"12",25.7361653320357
"13",24.1998394690706
"14",24.737937634168
"15",25.695344156404
"16",24.4618110204703
"17",22.8679571577269
"18",24.9085445360975
"19",25.444787164902
"20",26.1846121459808
"21",25.5908684565936
"22",25.609682746943
"23",25.8890858744731
"24",26.3623175838974
"25",26.3842410182847
"26",26.2632073630076
"27",26.6103421597894
"28",26.4947032275369
"29",26.8278665547483
"30",26.7676787252457
"31",26.5498927161827
"32",24.4032711860063
"33",26.1877344066657
"34",27.37247114245
"35",28.5766766324036
"36",29.0059303326548
"37",29.1655024578082
"38",28.5472956112328
"39",27.1330067737247
"40",26.0624976441654
"41",24.9713944742879
"42",24.045285194907
"43",22.6116795624177
"44",21.7342179690979
"45",21.4592798089264
"46",21.6527400717763
"47",22.9215001207263
"48",20.8441208289086
"49",21.5903083672241
"50",22.6172197827973
